|             |WGS 84                                |UTM                           |
|-------------|-----------|-----------|--------------|----------|-----------|-------|------------------|
|Point:       |Latitude:  |Longitude: |Altitude: (m.)|E: (m.)   |N: (m.)    |Z: (m.)|Height (MSL): (m.)|
|-------------|-----------|-----------|--------------|----------|-----------|-------|------------------|
|           L0|43.59387513|10.57285563|         75.37|626960.089|4827968.823| 75.370|             28.18|
|           H0|43.59468386|10.57254472|         74.42|626933.291|4828058.168| 74.420|             27.24|
|           L1|43.59388056|10.57288571|         75.37|626962.505|4827969.473| 75.370|             28.19|
|           H1|43.59468386|10.57254472|         74.42|626933.291|4828058.168| 74.420|             27.24|
|           L2|43.59387951|10.57291798|         75.46|626965.112|4827969.404| 75.460|             28.28|
|           L3|43.59387507|10.57294857|         75.49|626967.591|4827968.958| 75.490|             28.31|
|           L4|43.59387103|10.57298349|         75.64|626970.418|4827968.563| 75.640|             28.45|
|           L5|43.59386784|10.57301532|         75.77|626972.995|4827968.257| 75.770|             28.59|
|        sasso|43.59385189|10.57305224|         75.95|626976.008|4827966.543| 75.950|             28.77|
|          LM0|43.59384191|10.57287038|         75.34|626961.349|4827965.156| 75.340|             28.15|
|          LM1|43.59384505|10.57290107|         75.45|626963.820|4827965.552| 75.450|             28.26|
|          LM2|43.59384467|10.57293237|         75.58|626966.348|4827965.557| 75.580|             28.39|
|          LM3|43.59384350|10.57296242|         75.67|626968.775|4827965.474| 75.670|             28.49|
|          LM4|43.59384113|10.57299571|         75.81|626971.467|4827965.261| 75.810|             28.62|
|          LM5|43.59383713|10.57302965|         75.97|626974.216|4827964.869| 75.970|             28.79|
|           L5|43.59386783|10.57301591|         75.83|626973.042|4827968.257| 75.830|             28.64|
|           H2|43.59535384|10.57229088|         73.15|626911.393|4828132.189| 73.150|             25.97|
|           H3|43.59542273|10.57229602|         73.13|626911.663|4828139.848| 73.130|             25.95|
|           H4|43.59547264|10.57230714|         72.93|626912.456|4828145.407| 72.930|             25.75|
|           H5|43.59552745|10.57231629|         73.02|626913.080|4828151.509| 73.020|             25.83|
|          HM5|43.59554887|10.57230780|         72.97|626912.349|4828153.875| 72.970|             25.79|
|          HM4|43.59550626|10.57229224|         72.88|626911.183|4828149.119| 72.880|             25.70|
|          HM3|43.59545669|10.57228256|         72.94|626910.506|4828143.599| 72.940|             25.76|
|          HM2|43.59538781|10.57227852|         73.03|626910.324|4828135.943| 73.030|             25.85|
|           T0|43.59538781|10.57227852|         73.03|626910.324|4828135.943| 73.030|             25.85|
|           T1|43.59474482|10.57251399|         74.00|626930.683|4828064.891| 74.000|             26.82|
|          HM1|43.59468386|10.57254472|         74.42|626933.291|4828058.168| 74.420|             27.24|
|           T2|43.59468386|10.57254472|         74.42|626933.291|4828058.168| 74.420|             27.24|
